year,Industry,Nacerev,MNE_profit_shifting
2015,C,1091,0.111
2016,C,1091,0.158
2017,C,1091,0.204
2018,C,1091,0.126
2019,C,1091,0.101
2020,C,1091,0.194
2010,C,1092,0.001
2011,C,1092,0.001
2012,C,1092,0.016
2013,C,1092,0.002
2014,C,1092,0.008
2015,C,1092,0.018
2020,C,1092,0.036
2009,C,1101,0.331
2010,C,1101,0.799
2011,C,1101,0.657
2012,C,1101,1.268
2013,C,1101,1.459
2014,C,1101,1.287
2015,C,1101,1.181
2016,C,1101,1.343
2017,C,1101,1.61
2018,C,1101,1.08
2019,C,1101,0.829
2020,C,1101,0.455
2009,C,1102,0.232
2010,C,1102,0.255
2011,C,1102,0.497
2012,C,1102,0.579
2013,C,1102,0.48
2014,C,1102,0.54
2015,C,1102,0.407
2016,C,1102,0.807
2017,C,1102,0.874
2018,C,1102,0.573
2019,C,1102,0.485
2020,C,1102,0.268
2009,C,1103,0.001
2010,C,1103,0.002
2011,C,1103,0.004
2012,C,1103,0.003
2013,C,1103,0.001
2014,C,1103,0.0
2015,C,1103,0.001
2016,C,1103,0.001
2017,C,1103,0.001
2018,C,1103,0.001
2019,C,1103,0.001
2020,C,1103,0.0
2009,C,1104,0.006
2010,C,1104,0.002
2011,C,1104,0.002
2012,C,1104,0.0
2013,C,1104,0.002
2014,C,1104,0.007
2016,C,1104,0.003
2017,C,1104,0.001
2009,C,1105,2.119
2010,C,1105,3.044
2011,C,1105,3.041
2012,C,1105,3.803
2013,C,1105,5.243
2014,C,1105,5.637
2015,C,1105,5.504
2016,C,1105,3.218
2017,C,1105,5.002
2018,C,1105,2.064
2019,C,1105,2.576
2020,C,1105,0.994
2011,C,1106,0.0
2013,C,1106,0.0
2014,C,1106,0.0
2016,C,1106,0.002
2017,C,1106,0.0
2018,C,1106,0.0
2019,C,1106,0.0
2009,C,1107,3.758
2010,C,1107,6.934
2011,C,1107,6.101
2012,C,1107,7.393
2013,C,1107,6.641
2014,C,1107,6.711
2015,C,1107,6.562
2016,C,1107,6.839
2017,C,1107,4.916
2018,C,1107,3.807
2019,C,1107,3.74
2020,C,1107,3.73
2009,C,1200,5.485
2010,C,1200,5.91
2011,C,1200,6.594
2012,C,1200,7.193
2013,C,1200,6.511
2014,C,1200,6.387
2015,C,1200,8.503
2016,C,1200,6.913
2017,C,1200,17.151
2018,C,1200,5.71
2019,C,1200,4.774
2020,C,1200,5.716
2013,C,1300,0.002
2014,C,1300,0.003
2015,C,1300,0.004
2016,C,1300,0.004
2017,C,1300,0.004
2018,C,1300,0.003
2019,C,1300,0.002
2020,C,1300,0.001
2009,C,1310,0.072
2010,C,1310,0.131
2011,C,1310,0.257
2012,C,1310,0.097
2013,C,1310,0.087
2014,C,1310,0.125
2015,C,1310,0.314
2016,C,1310,0.192
2017,C,1310,0.105
2018,C,1310,0.115
2019,C,1310,0.054
2020,C,1310,0.052
2009,C,1320,0.005
2010,C,1320,0.027
2011,C,1320,0.053
2012,C,1320,0.01
2013,C,1320,0.023
2014,C,1320,0.037
2015,C,1320,0.1
2016,C,1320,0.047
2017,C,1320,0.083
2018,C,1320,0.04
2019,C,1320,0.037
2020,C,1320,0.031
2009,C,1330,0.006
2010,C,1330,0.007
2011,C,1330,0.006
2012,C,1330,0.008
2013,C,1330,0.004
2014,C,1330,0.005
2015,C,1330,0.01
2016,C,1330,0.011
2017,C,1330,0.014
2018,C,1330,0.014
2019,C,1330,0.005
2020,C,1330,0.013
2011,C,1390,0.0
2009,C,1391,0.002
2010,C,1391,0.0
2011,C,1391,0.001
2012,C,1391,0.002
2013,C,1391,0.001
2014,C,1391,0.003
2015,C,1391,0.002
2016,C,1391,0.003
2017,C,1391,0.003
2018,C,1391,0.003
2019,C,1391,0.0
2020,C,1391,0.0
2009,C,1392,0.024
2010,C,1392,0.013
2011,C,1392,0.05
2012,C,1392,0.032
2013,C,1392,0.237
2014,C,1392,0.192
2015,C,1392,0.229
2016,C,1392,0.142
2017,C,1392,0.366
2018,C,1392,0.033
2019,C,1392,0.016
2020,C,1392,0.008
2009,C,1393,0.002
2010,C,1393,0.061
2011,C,1393,0.077
2012,C,1393,0.174
2013,C,1393,0.138
2014,C,1393,0.256
2015,C,1393,0.286
2016,C,1393,0.374
2017,C,1393,0.296
2018,C,1393,0.221
2019,C,1393,0.137
2020,C,1393,0.104
2009,C,1394,0.002
2010,C,1394,0.002
2011,C,1394,0.005
2012,C,1394,0.002
2013,C,1394,0.006
2014,C,1394,0.005
2015,C,1394,0.004
2016,C,1394,0.004
2017,C,1394,0.005
2018,C,1394,0.003
2019,C,1394,0.009
2020,C,1394,0.005
2009,C,1395,0.004
2010,C,1395,0.005
2011,C,1395,0.007
2012,C,1395,0.012
2013,C,1395,0.026
2014,C,1395,0.036
2015,C,1395,0.053
2016,C,1395,0.04
2017,C,1395,0.015
2018,C,1395,0.005
2019,C,1395,0.002
2020,C,1395,0.01
2009,C,1396,0.0
2010,C,1396,0.001
2011,C,1396,0.002
2012,C,1396,0.005
2013,C,1396,0.005
2014,C,1396,0.002
2015,C,1396,0.002
2016,C,1396,0.001
2017,C,1396,0.002
2018,C,1396,0.001
2019,C,1396,0.001
2020,C,1396,0.001
2009,C,1399,0.121
2010,C,1399,0.27
2011,C,1399,0.304
2012,C,1399,0.275
2013,C,1399,0.091
2014,C,1399,0.311
2015,C,1399,0.452
2016,C,1399,0.89
2017,C,1399,0.559
2018,C,1399,0.226
2019,C,1399,0.146
2020,C,1399,0.051
2009,C,1410,0.007
2010,C,1410,0.014
2011,C,1410,0.016
2012,C,1410,0.021
2013,C,1410,0.004
2014,C,1410,0.004
2015,C,1410,0.005
2016,C,1410,0.003
2017,C,1410,0.006
2018,C,1410,0.005
2019,C,1410,0.003
2020,C,1410,0.003
2009,C,1411,0.001
2010,C,1411,0.001
2015,C,1411,0.004
2016,C,1411,0.006
2017,C,1411,0.002
2018,C,1411,0.002
2019,C,1411,0.001
2020,C,1411,0.002
2009,C,1412,0.002
2010,C,1412,0.001
2011,C,1412,0.001
2012,C,1412,0.002
2013,C,1412,0.001
2014,C,1412,0.002
2015,C,1412,0.001
2016,C,1412,0.003
2017,C,1412,0.004
2018,C,1412,0.001
2019,C,1412,0.004
2020,C,1412,0.005
2009,C,1413,0.485
2010,C,1413,1.274
2011,C,1413,1.946
2012,C,1413,4.431
2013,C,1413,1.427
2014,C,1413,0.929
2015,C,1413,2.763
2016,C,1413,2.756
2017,C,1413,3.236
2018,C,1413,1.542
2019,C,1413,0.685
2020,C,1413,0.314
2009,C,1414,0.053
2010,C,1414,0.063
2011,C,1414,0.152
2012,C,1414,0.127
2013,C,1414,0.21
2014,C,1414,0.094
2015,C,1414,0.148
2016,C,1414,0.194
2017,C,1414,0.184
2018,C,1414,0.157
2019,C,1414,0.133
2020,C,1414,0.01
2009,C,1419,0.028
2010,C,1419,0.041
2011,C,1419,0.077
2012,C,1419,0.067
2013,C,1419,0.078
2014,C,1419,0.08
2015,C,1419,0.194
2016,C,1419,0.23
2017,C,1419,0.214
2018,C,1419,0.174
2019,C,1419,0.172
2020,C,1419,0.204
2009,C,1420,0.005
2010,C,1420,0.015
2011,C,1420,0.039
2012,C,1420,0.059
2013,C,1420,0.029
2014,C,1420,0.029
2015,C,1420,0.034
2016,C,1420,0.032
2017,C,1420,0.054
2018,C,1420,0.023
2019,C,1420,0.017
2020,C,1420,0.01
2013,C,1430,0.001
2009,C,1431,0.004
2010,C,1431,0.002
2011,C,1431,0.003
2012,C,1431,0.004
2013,C,1431,0.003
2014,C,1431,0.003
2015,C,1431,0.003
2016,C,1431,0.003
2017,C,1431,0.002
2018,C,1431,0.007
2019,C,1431,0.006
2020,C,1431,0.011
2009,C,1439,0.027
2010,C,1439,0.0
2011,C,1439,0.017
2012,C,1439,0.014
2013,C,1439,0.012
2014,C,1439,0.014
2015,C,1439,0.09
2016,C,1439,0.223
2017,C,1439,0.2
2018,C,1439,0.057
2019,C,1439,0.036
2020,C,1439,0.003
2009,C,1511,0.002
2011,C,1511,0.002
2012,C,1511,0.003
2013,C,1511,0.047
2014,C,1511,0.054
2015,C,1511,0.008
2016,C,1511,0.011
2017,C,1511,0.01
2018,C,1511,0.006
2019,C,1511,0.003
2020,C,1511,0.001
2009,C,1512,0.235
2010,C,1512,0.39
2011,C,1512,0.093
2012,C,1512,0.036
2013,C,1512,0.49
2014,C,1512,0.515
2015,C,1512,0.357
2016,C,1512,0.499
2017,C,1512,0.346
2018,C,1512,0.143
2019,C,1512,0.113
2020,C,1512,0.008
2009,C,1520,0.786
2010,C,1520,1.223
2011,C,1520,1.265
2012,C,1520,1.814
2013,C,1520,1.269
2014,C,1520,1.492
2015,C,1520,2.267
2016,C,1520,3.861
2017,C,1520,3.509
2018,C,1520,1.196
2019,C,1520,1.212
2020,C,1520,0.607
2009,C,1610,0.001
2010,C,1610,0.002
2011,C,1610,0.004
2012,C,1610,0.001
2013,C,1610,0.001
2014,C,1610,0.003
2015,C,1610,0.002
2016,C,1610,0.048
2017,C,1610,0.044
2018,C,1610,0.065
2019,C,1610,0.046
2020,C,1610,0.088
2009,C,1621,0.017
2010,C,1621,0.076
2011,C,1621,0.024
2012,C,1621,0.043
2013,C,1621,0.074
2014,C,1621,0.018
2015,C,1621,0.02
2016,C,1621,0.129
2017,C,1621,0.077
2018,C,1621,0.09
2019,C,1621,0.031
2020,C,1621,0.137
2009,C,1622,0.002
2010,C,1622,0.001
2011,C,1622,0.001
2012,C,1622,0.001
2013,C,1622,0.002
2014,C,1622,0.002
2015,C,1622,0.002
2016,C,1622,0.003
2017,C,1622,0.003
2018,C,1622,0.0
2019,C,1622,0.0
2020,C,1622,0.0
2009,C,1623,0.015
2010,C,1623,0.006
2011,C,1623,0.018
2012,C,1623,0.038
2013,C,1623,0.019
2014,C,1623,0.037
2015,C,1623,0.059
2016,C,1623,0.05
2017,C,1623,0.069
2018,C,1623,0.07
2019,C,1623,0.049
2020,C,1623,0.062
2009,C,1624,0.001
2010,C,1624,0.002
2011,C,1624,0.001
2012,C,1624,0.005
2013,C,1624,0.007
2014,C,1624,0.01
2015,C,1624,0.011
2016,C,1624,0.004
2017,C,1624,0.003
2018,C,1624,0.011
2019,C,1624,0.008
2020,C,1624,0.005
2009,C,1629,0.027
2010,C,1629,0.063
2011,C,1629,0.038
